Time (s),Photometer (mg/L)
1234.014,1.27866447
1235.016,1.299103022
1236.015,1.303101897
1237.014,1.280995846
1238.016,1.25649941
1239.015,1.241134524
1240.016,1.253389001
1241.016,1.285645008
1242.015,1.260001421
1243.016,1.249436736
1244.015,1.227001786
1245.015,1.247291803
1246.016,1.242970347
1247.015,1.209107518
1248.015,1.217464447
1249.016,1.208833814
1250.015,1.189760208
1251.015,1.212187767
1252.014,1.227683663
1253.015,1.202330947
1254.015,1.203726053
1255.014,1.235897183
1256.015,1.245767713
1257.015,1.207150579
1258.014,1.179542303
1259.015,1.196073771
1260.015,1.189858198
1261.016,1.180370569
1262.015,1.153508425
1263.015,1.157195687
1264.016,1.158807755
1265.015,1.178632617
1266.017,1.179718971
1267.014,1.164335966
1268.015,1.154017568
1269.015,1.158627272
1270.014,1.145143509
1271.015,1.151504278
1272.017,1.178197742
1273.016,1.142551184
1274.015,1.148119092
1275.017,1.152600884
1276.014,1.157882571
1277.015,1.148257494
